Acquired on 3/17/2019 at 11:55:21
Device Descriptor:  [none]
Number of Scan Averages:  1
Time Domain Window Resolution Bandwidth (pm):  1.538331
Filter Resolution Bandwidth (pm):  9.680021
Convolved Resolution Bandwidth (pm):  9.801493

X Axis - Wavelength (nm)	X Axis - Frequency (GHz)	Insertion Loss (dB)
   1.52516853E+003	1.96563496E+005	-3.14581260E+001
   1.52516977E+003	1.96563336E+005	-3.14280998E+001
   1.52517101E+003	1.96563176E+005	-3.14262187E+001
   1.52517225E+003	1.96563017E+005	-3.14316315E+001
   1.52517349E+003	1.96562857E+005	-3.14098536E+001
   1.52517473E+003	1.96562697E+005	-3.13864641E+001
   1.52517596E+003	1.96562538E+005	-3.14114654E+001
   1.52517720E+003	1.96562378E+005	-3.14741924E+001
   1.52517844E+003	1.96562218E+005	-3.15081576E+001
   1.52517968E+003	1.96562059E+005	-3.14848025E+001
   1.52518092E+003	1.96561899E+005	-3.14516807E+001
   1.52518216E+003	1.96561739E+005	-3.14545106E+001
   1.52518340E+003	1.96561579E+005	-3.14723126E+001
   1.52518464E+003	1.96561420E+005	-3.14636498E+001
   1.52518588E+003	1.96561260E+005	-3.14395566E+001
   1.52518712E+003	1.96561100E+005	-3.14430848E+001
   1.52518836E+003	1.96560941E+005	-3.14700945E+001
   1.52518960E+003	1.96560781E+005	-3.14611866E+001
   1.52519083E+003	1.96560621E+005	-3.13915065E+001
   1.52519207E+003	1.96560462E+005	-3.13198238E+001
   1.52519331E+003	1.96560302E+005	-3.13055714E+001
   1.52519455E+003	1.96560142E+005	-3.13239597E+001
   1.52519579E+003	1.96559982E+005	-3.13158581E+001
   1.52519703E+003	1.96559823E+005	-3.12918365E+001
   1.52519827E+003	1.96559663E+005	-3.13150428E+001
   1.52519951E+003	1.96559503E+005	-3.13866630E+001
   1.52520075E+003	1.96559344E+005	-3.14250880E+001
   1.52520199E+003	1.96559184E+005	-3.13846794E+001
   1.52520323E+003	1.96559024E+005	-3.13301619E+001
   1.52520447E+003	1.96558865E+005	-3.13435060E+001
   1.52520570E+003	1.96558705E+005	-3.14115861E+001
   1.52520694E+003	1.96558545E+005	-3.14603411E+001
   1.52520818E+003	1.96558385E+005	-3.14691083E+001
   1.52520942E+003	1.96558226E+005	-3.14813279E+001
   1.52521066E+003	1.96558066E+005	-3.15099838E+001
   1.52521190E+003	1.96557906E+005	-3.15109650E+001
   1.52521314E+003	1.96557747E+005	-3.14689281E+001
   1.52521438E+003	1.96557587E+005	-3.14448194E+001
   1.52521562E+003	1.96557427E+005	-3.14933958E+001
   1.52521686E+003	1.96557268E+005	-3.15712574E+001
   1.52521810E+003	1.96557108E+005	-3.15842423E+001
   1.52521934E+003	1.96556948E+005	-3.15233513E+001
   1.52522058E+003	1.96556789E+005	-3.14726779E+001
   1.52522181E+003	1.96556629E+005	-3.14710659E+001
   1.52522305E+003	1.96556469E+005	-3.14624866E+001
   1.52522429E+003	1.96556309E+005	-3.14072378E+001
   1.52522553E+003	1.96556150E+005	-3.13587168E+001
   1.52522677E+003	1.96555990E+005	-3.13809753E+001
   1.52522801E+003	1.96555830E+005	-3.14451164E+001
   1.52522925E+003	1.96555671E+005	-3.14672219E+001
   1.52523049E+003	1.96555511E+005	-3.14351228E+001
   1.52523173E+003	1.96555351E+005	-3.14198404E+001
   1.52523297E+003	1.96555192E+005	-3.14516775E+001
   1.52523421E+003	1.96555032E+005	-3.14742562E+001
   1.52523545E+003	1.96554872E+005	-3.14489240E+001
   1.52523668E+003	1.96554712E+005	-3.14273519E+001
   1.52523792E+003	1.96554553E+005	-3.14729485E+001
   1.52523916E+003	1.96554393E+005	-3.15666787E+001
   1.52524040E+003	1.96554233E+005	-3.16386950E+001
   1.52524164E+003	1.96554074E+005	-3.16664940E+001
   1.52524288E+003	1.96553914E+005	-3.16862706E+001
   1.52524412E+003	1.96553754E+005	-3.17075286E+001
