Acquired on 3/17/2019 at 11:44:41
Device Descriptor:  [none]
Number of Scan Averages:  1
Time Domain Window Resolution Bandwidth (pm):  1.538331
Filter Resolution Bandwidth (pm):  9.680021
Convolved Resolution Bandwidth (pm):  9.801493

X Axis - Wavelength (nm)	X Axis - Frequency (GHz)	Insertion Loss (dB)
   1.52522429E+003	1.96556309E+005	-4.95925992E+001
   1.52522553E+003	1.96556150E+005	-4.96933503E+001
   1.52522677E+003	1.96555990E+005	-4.97114430E+001
   1.52522801E+003	1.96555830E+005	-4.96892017E+001
   1.52522925E+003	1.96555671E+005	-4.97275719E+001
   1.52523049E+003	1.96555511E+005	-4.98161055E+001
   1.52523173E+003	1.96555351E+005	-4.98547426E+001
   1.52523297E+003	1.96555192E+005	-4.98330195E+001
   1.52523421E+003	1.96555032E+005	-4.98467535E+001
   1.52523545E+003	1.96554872E+005	-4.99346347E+001
   1.52523668E+003	1.96554712E+005	-5.00175162E+001
   1.52523792E+003	1.96554553E+005	-5.00430765E+001
   1.52523916E+003	1.96554393E+005	-5.01043629E+001
   1.52524040E+003	1.96554233E+005	-5.03102475E+001
   1.52524164E+003	1.96554074E+005	-5.06072795E+001
   1.52524288E+003	1.96553914E+005	-5.08078542E+001
   1.52524412E+003	1.96553754E+005	-5.07734838E+001
   1.52524536E+003	1.96553595E+005	-5.05435019E+001
   1.52524660E+003	1.96553435E+005	-5.02803981E+001
   1.52524784E+003	1.96553275E+005	-5.01244298E+001
   1.52524908E+003	1.96553115E+005	-5.01163020E+001
   1.52525032E+003	1.96552956E+005	-5.02074802E+001
   1.52525156E+003	1.96552796E+005	-5.02844987E+001
   1.52525280E+003	1.96552636E+005	-5.01823990E+001
   1.52525403E+003	1.96552477E+005	-4.98018014E+001
   1.52525527E+003	1.96552317E+005	-4.93032092E+001
   1.52525651E+003	1.96552157E+005	-4.90307346E+001
   1.52525775E+003	1.96551998E+005	-4.92009945E+001
   1.52525899E+003	1.96551838E+005	-4.97474222E+001
   1.52526023E+003	1.96551678E+005	-5.03915387E+001
   1.52526147E+003	1.96551518E+005	-5.08182566E+001
   1.52526271E+003	1.96551359E+005	-5.08880913E+001
   1.52526395E+003	1.96551199E+005	-5.07511109E+001
   1.52526519E+003	1.96551039E+005	-5.06411612E+001
