Acquired on 3/17/2019 at 11:37:22
Device Descriptor:  [none]
Number of Scan Averages:  1
Time Domain Window Resolution Bandwidth (pm):  1.538331
Filter Resolution Bandwidth (pm):  9.680021
Convolved Resolution Bandwidth (pm):  9.801493

X Axis - Wavelength (nm)	X Axis - Frequency (GHz)	Insertion Loss (dB)
   1.52517968E+003	1.96562059E+005	-1.94536989E+001
   1.52518092E+003	1.96561899E+005	-1.94519960E+001
   1.52518216E+003	1.96561739E+005	-1.94483798E+001
   1.52518340E+003	1.96561579E+005	-1.94399090E+001
   1.52518464E+003	1.96561420E+005	-1.94270958E+001
   1.52518588E+003	1.96561260E+005	-1.94151009E+001
   1.52518712E+003	1.96561100E+005	-1.94082157E+001
   1.52518836E+003	1.96560941E+005	-1.94044127E+001
   1.52518960E+003	1.96560781E+005	-1.93994458E+001
   1.52519083E+003	1.96560621E+005	-1.93952254E+001
   1.52519207E+003	1.96560462E+005	-1.93980005E+001
   1.52519331E+003	1.96560302E+005	-1.94076515E+001
   1.52519455E+003	1.96560142E+005	-1.94150979E+001
   1.52519579E+003	1.96559982E+005	-1.94129230E+001
   1.52519703E+003	1.96559823E+005	-1.94034676E+001
   1.52519827E+003	1.96559663E+005	-1.93934410E+001
   1.52519951E+003	1.96559503E+005	-1.93867278E+001
   1.52520075E+003	1.96559344E+005	-1.93860092E+001
   1.52520199E+003	1.96559184E+005	-1.93926953E+001
   1.52520323E+003	1.96559024E+005	-1.94007919E+001
   1.52520447E+003	1.96558865E+005	-1.94008219E+001
   1.52520570E+003	1.96558705E+005	-1.93939260E+001
   1.52520694E+003	1.96558545E+005	-1.93922377E+001
   1.52520818E+003	1.96558385E+005	-1.94017637E+001
   1.52520942E+003	1.96558226E+005	-1.94136556E+001
   1.52521066E+003	1.96558066E+005	-1.94162782E+001
   1.52521190E+003	1.96557906E+005	-1.94091234E+001
   1.52521314E+003	1.96557747E+005	-1.94009453E+001
   1.52521438E+003	1.96557587E+005	-1.93985948E+001
   1.52521562E+003	1.96557427E+005	-1.94011568E+001
   1.52521686E+003	1.96557268E+005	-1.94039964E+001
   1.52521810E+003	1.96557108E+005	-1.94054682E+001
   1.52521934E+003	1.96556948E+005	-1.94085985E+001
   1.52522058E+003	1.96556789E+005	-1.94181859E+001
   1.52522181E+003	1.96556629E+005	-1.94345168E+001
   1.52522305E+003	1.96556469E+005	-1.94482687E+001
   1.52522429E+003	1.96556309E+005	-1.94477837E+001
   1.52522553E+003	1.96556150E+005	-1.94336742E+001
   1.52522677E+003	1.96555990E+005	-1.94190124E+001
   1.52522801E+003	1.96555830E+005	-1.94135417E+001
   1.52522925E+003	1.96555671E+005	-1.94146531E+001
   1.52523049E+003	1.96555511E+005	-1.94161691E+001
   1.52523173E+003	1.96555351E+005	-1.94190366E+001
   1.52523297E+003	1.96555192E+005	-1.94264754E+001
   1.52523421E+003	1.96555032E+005	-1.94335817E+001
   1.52523545E+003	1.96554872E+005	-1.94319992E+001
   1.52523668E+003	1.96554712E+005	-1.94222436E+001
   1.52523792E+003	1.96554553E+005	-1.94116731E+001
   1.52523916E+003	1.96554393E+005	-1.94030870E+001
   1.52524040E+003	1.96554233E+005	-1.93946398E+001
   1.52524164E+003	1.96554074E+005	-1.93888431E+001
   1.52524288E+003	1.96553914E+005	-1.93914657E+001
   1.52524412E+003	1.96553754E+005	-1.94012496E+001
   1.52524536E+003	1.96553595E+005	-1.94109494E+001
   1.52524660E+003	1.96553435E+005	-1.94185245E+001
   1.52524784E+003	1.96553275E+005	-1.94263950E+001
   1.52524908E+003	1.96553115E+005	-1.94316711E+001
   1.52525032E+003	1.96552956E+005	-1.94287844E+001
   1.52525156E+003	1.96552796E+005	-1.94200369E+001
   1.52525280E+003	1.96552636E+005	-1.94138788E+001
   1.52525403E+003	1.96552477E+005	-1.94138675E+001
   1.52525527E+003	1.96552317E+005	-1.94172822E+001
   1.52525651E+003	1.96552157E+005	-1.94236852E+001
   1.52525775E+003	1.96551998E+005	-1.94356728E+001
   1.52525899E+003	1.96551838E+005	-1.94498423E+001
   1.52526023E+003	1.96551678E+005	-1.94558217E+001
   1.52526147E+003	1.96551518E+005	-1.94478063E+001
   1.52526271E+003	1.96551359E+005	-1.94311277E+001
   1.52526395E+003	1.96551199E+005	-1.94139643E+001
   1.52526519E+003	1.96551039E+005	-1.93985315E+001
   1.52526643E+003	1.96550880E+005	-1.93859104E+001
   1.52526767E+003	1.96550720E+005	-1.93825017E+001
   1.52526891E+003	1.96550560E+005	-1.93922226E+001
   1.52527014E+003	1.96550401E+005	-1.94074760E+001
   1.52527138E+003	1.96550241E+005	-1.94172701E+001
   1.52527262E+003	1.96550081E+005	-1.94207728E+001
   1.52527386E+003	1.96549922E+005	-1.94257996E+001
   1.52527510E+003	1.96549762E+005	-1.94376618E+001
   1.52527634E+003	1.96549602E+005	-1.94555714E+001
   1.52527758E+003	1.96549442E+005	-1.94756390E+001
   1.52527882E+003	1.96549283E+005	-1.94904554E+001
   1.52528006E+003	1.96549123E+005	-1.94903888E+001
   1.52528130E+003	1.96548963E+005	-1.94737283E+001
   1.52528254E+003	1.96548804E+005	-1.94520916E+001
   1.52528378E+003	1.96548644E+005	-1.94387325E+001
   1.52528502E+003	1.96548484E+005	-1.94346661E+001
   1.52528626E+003	1.96548325E+005	-1.94317997E+001
   1.52528749E+003	1.96548165E+005	-1.94257466E+001
   1.52528873E+003	1.96548005E+005	-1.94183563E+001
   1.52528997E+003	1.96547845E+005	-1.94112945E+001
   1.52529121E+003	1.96547686E+005	-1.94058674E+001
   1.52529245E+003	1.96547526E+005	-1.94059816E+001
   1.52529369E+003	1.96547366E+005	-1.94135427E+001
   1.52529493E+003	1.96547207E+005	-1.94235794E+001
   1.52529617E+003	1.96547047E+005	-1.94284830E+001
   1.52529741E+003	1.96546887E+005	-1.94246987E+001
   1.52529865E+003	1.96546728E+005	-1.94139175E+001
   1.52529989E+003	1.96546568E+005	-1.94012731E+001
   1.52530113E+003	1.96546408E+005	-1.93938815E+001
   1.52530237E+003	1.96546248E+005	-1.93976781E+001
   1.52530361E+003	1.96546089E+005	-1.94119703E+001
   1.52530485E+003	1.96545929E+005	-1.94282160E+001
   1.52530608E+003	1.96545769E+005	-1.94386018E+001
   1.52530732E+003	1.96545610E+005	-1.94445750E+001
   1.52530856E+003	1.96545450E+005	-1.94508819E+001
   1.52530980E+003	1.96545290E+005	-1.94547244E+001
   1.52531104E+003	1.96545131E+005	-1.94500323E+001
   1.52531228E+003	1.96544971E+005	-1.94388896E+001
   1.52531352E+003	1.96544811E+005	-1.94291623E+001
   1.52531476E+003	1.96544651E+005	-1.94241295E+001
   1.52531600E+003	1.96544492E+005	-1.94220036E+001
   1.52531724E+003	1.96544332E+005	-1.94219624E+001
   1.52531848E+003	1.96544172E+005	-1.94242695E+001
   1.52531972E+003	1.96544013E+005	-1.94264142E+001
   1.52532096E+003	1.96543853E+005	-1.94241611E+001
   1.52532220E+003	1.96543693E+005	-1.94168444E+001
   1.52532344E+003	1.96543534E+005	-1.94087003E+001
   1.52532468E+003	1.96543374E+005	-1.94048269E+001
   1.52532591E+003	1.96543214E+005	-1.94079053E+001
   1.52532715E+003	1.96543055E+005	-1.94179226E+001
   1.52532839E+003	1.96542895E+005	-1.94323851E+001
   1.52532963E+003	1.96542735E+005	-1.94460361E+001
   1.52533087E+003	1.96542575E+005	-1.94532203E+001
   1.52533211E+003	1.96542416E+005	-1.94532538E+001
   1.52533335E+003	1.96542256E+005	-1.94502392E+001
   1.52533459E+003	1.96542096E+005	-1.94460611E+001
   1.52533583E+003	1.96541937E+005	-1.94393033E+001
   1.52533707E+003	1.96541777E+005	-1.94317999E+001
   1.52533831E+003	1.96541617E+005	-1.94292475E+001
   1.52533955E+003	1.96541458E+005	-1.94333763E+001
   1.52534079E+003	1.96541298E+005	-1.94386300E+001
   1.52534203E+003	1.96541138E+005	-1.94389713E+001
   1.52534327E+003	1.96540978E+005	-1.94348582E+001
   1.52534451E+003	1.96540819E+005	-1.94318647E+001
   1.52534574E+003	1.96540659E+005	-1.94348144E+001
   1.52534698E+003	1.96540499E+005	-1.94446453E+001
   1.52534822E+003	1.96540340E+005	-1.94592294E+001
   1.52534946E+003	1.96540180E+005	-1.94745421E+001
   1.52535070E+003	1.96540020E+005	-1.94845930E+001
   1.52535194E+003	1.96539861E+005	-1.94839279E+001
   1.52535318E+003	1.96539701E+005	-1.94732846E+001
   1.52535442E+003	1.96539541E+005	-1.94596717E+001
   1.52535566E+003	1.96539381E+005	-1.94483428E+001
   1.52535690E+003	1.96539222E+005	-1.94393050E+001
   1.52535814E+003	1.96539062E+005	-1.94331905E+001
   1.52535938E+003	1.96538902E+005	-1.94328125E+001
   1.52536062E+003	1.96538743E+005	-1.94360313E+001
   1.52536186E+003	1.96538583E+005	-1.94353425E+001
   1.52536310E+003	1.96538423E+005	-1.94280921E+001
   1.52536434E+003	1.96538264E+005	-1.94201221E+001
   1.52536558E+003	1.96538104E+005	-1.94170646E+001
   1.52536682E+003	1.96537944E+005	-1.94180183E+001
   1.52536805E+003	1.96537785E+005	-1.94196012E+001
   1.52536929E+003	1.96537625E+005	-1.94216965E+001
   1.52537053E+003	1.96537465E+005	-1.94265888E+001
   1.52537177E+003	1.96537305E+005	-1.94350345E+001
   1.52537301E+003	1.96537146E+005	-1.94450614E+001
   1.52537425E+003	1.96536986E+005	-1.94528888E+001
   1.52537549E+003	1.96536826E+005	-1.94554725E+001
   1.52537673E+003	1.96536667E+005	-1.94540827E+001
   1.52537797E+003	1.96536507E+005	-1.94534552E+001
   1.52537921E+003	1.96536347E+005	-1.94553601E+001
   1.52538045E+003	1.96536188E+005	-1.94553854E+001
   1.52538169E+003	1.96536028E+005	-1.94492779E+001
   1.52538293E+003	1.96535868E+005	-1.94405971E+001
   1.52538417E+003	1.96535708E+005	-1.94369028E+001
